PLANT_CODE,BATCH_NO,SIMULATED_HEAT_NO,HR_GRADE,QUALITY_LEVEL,VENDOR_GRADE,BATCH_THICK,BATCH_WIDTH,BATCH_WEIGHT,SENT_DATE,SUPPLIER_TC_NO,CHEM_TREATMENT,SURFACE,REMARK,CARBON_PCT,CARBON_EQ,MANGANESE_PCT,PHOSPHORUS_PCT,SULPHUR_PCT,SILICON_PCT,ALUMINIUM_PCT,NITROGEN_PCT,NITROGEN_PPM,BORON_PCT,COPPER_PCT,CHROMIUM_PCT,NICKEL_PCT,TIN_PCT,YMPA,TMPA,EL_PCT,HARDNESS,UTS,YS,INNER_DIA,OUTER_DIA,READ_FLAG
2000,25E0516R00,65266574,CR2,PRIME,,4,1235,26.115,26-05-25,,NA,NA,,0.046,0.075,0.21,0.018,0.01,0.01,0.056,0,40,0.03,0.007,0.014,0.009,0.01,475,325,0.001,80,500,350,756,0,1
2000,25E0529R00,10542643,CR2,PRIME,,2.8,1235,22.08,27-05-25,,NA,NA,,0.034,0.074,0.2,0.015,0.011,0.015,0.058,0,38,0.03,0.006,0.012,0.007,0.01,475,325,0.001,80,500,350,756,0,1
2000,25E0537R00,93436941,CR2,PRIME,,2.8,1235,22.06,27-05-25,,NA,NA,,0.034,0.074,0.2,0.015,0.011,0.015,0.058,0,38,0.03,0.006,0.012,0.007,0.01,475,325,0.001,80,500,350,756,0,1
2000,25E0547R00,92791072,CR2,PRIME,,2.8,1235,25.685,28-05-25,,NA,NA,,0.043,0.075,0.21,0.02,0.015,0.01,0.058,0,40,0.03,0.006,0.013,0.008,0.01,475,325,0.001,80,500,350,756,0,1
2000,25E0548R00,18813988,CR2,PRIME,,2.8,1235,25.74,28-05-25,,NA,NA,,0.055,0.074,0.23,0.019,0.015,0.01,0.055,0,40,0.03,0.006,0.013,0.009,0.01,475,325,0.001,80,500,350,756,0,1
2000,25E0557R00,17272218,CR2,PRIME,,2.8,1235,22.165,28-05-25,,NA,NA,,0.034,0.071,0.2,0.015,0.011,0.015,0.06,0,38,0.03,0.003,0.014,0.007,0.01,475,325,0.001,80,500,350,756,0,1
2000,25E0588R00,91354963,CR2,PRIME,,2.8,1235,21.095,29-05-25,,NA,NA,,0.033,0.064,0.22,0.02,0.015,0.008,0.056,0,39,0.03,0.001,0.016,0.009,0.01,475,325,0.001,80,500,350,756,0,1
2000,25E0589R00,49970949,CR2,PRIME,,4,1235,20.99,29-05-25,,NA,NA,,0.051,0.06,0.23,0.02,0.015,0.005,0.054,0,39,0.03,0.001,0.015,0.009,0.01,475,325,0.001,80,500,350,756,0,1
2000,25E0604R00,41674466,CR2,PRIME,,4,1235,21.005,29-05-25,,NA,NA,,0.051,0.075,0.23,0.02,0.015,0.005,0.054,0,39,0.03,0.001,0.016,0.009,0.01,475,325,0.001,80,500,350,756,0,1
2000,25E0630R00,74071154,CR2,PRIME,,4,1235,25.86,30-05-25,,NA,NA,,0.043,0.062,0.21,0.02,0.015,0.01,0.058,0,40,0.03,0.006,0.017,0.009,0.01,475,325,0.001,80,500,350,756,0,1
