PLANT_CODE,MATERIAL_CODE,MATERIAL_DESC,BATCH_NO,BATCH_WEIGHT,STORAGE_LOC,BATCH_THICK,BATCH_WIDTH,RM_SOURCE,VENDOR,VENDOR_BATCH,GRN,PO_NO,PO_LINE_NO,PO_DELIVERY_DATE,MOVEMENT_TYPE,PRODUCT_GROUP,PRODUCT_TYPE,EQ_SPEC,EQ_SPEC_GROUP,EQ_SUB_SPEC,CHAPTER_ID,CHAPTER_TYPE,CROWN,SIMULATED_HEAT_NO,QA_MATCH_STATUS
2000,R_HR>3MM_CO,Hot Rolled Black Coil 3mm & Above,26CJ0592R0,27.285,2001,3.6,1260,0011000144,JSW Vijayanagar Metallics Limited,26237275,5000095955,4600000273,260,10-03-26,101,HRC,COIL,11513:2017,BIS,cr2,72083890,N,7.453,45638027,MATCHED
2000,R_HR>3MM_CO,Hot Rolled Black Coil 3mm & Above,26CJ0593R0,27.25,2001,3,1260,0011000144,JSW Vijayanagar Metallics Limited,26230563,5000095956,4600000273,300,16-03-26,101,HRC,COIL,11513:2017,BIS,cr2,72083890,N,7.453,86945727,MATCHED
2000,R_HR>3MM_CO,Hot Rolled Black Coil 3mm & Above,26CJ0594R0,27.39,2001,3,1260,0011000144,JSW Vijayanagar Metallics Limited,26230866,5000095960,4600000273,300,16-03-26,101,HRC,COIL,11513:2017,BIS,cr2,72083890,N,7.453,78814944,MATCHED
2000,R_HR>3MM_CO,Hot Rolled Black Coil 3mm & Above,26CJ0595R0,27.25,2001,3,1260,0011000144,JSW Vijayanagar Metallics Limited,26230559,5000095964,4600000273,300,16-03-26,101,HRC,COIL,11513:2017,BIS,cr2,72083890,N,7.453,93203644,MATCHED
2000,R_HR_CO,Hot Rolled Black Coil,26CJ0596R0,26.44,2001,2.5,1230,0011000144,JSW Vijayanagar Metallics Limited,26237723,5000095965,4600000273,150,10-03-26,101,HRC,COIL,11513:2017,BIS,cr3,72083990,N,7.453,54699444,MATCHED
2000,R_HR_CO,Hot Rolled Black Coil,26CJ0597R0,27.37,2001,2.5,1260,0011000144,JSW Vijayanagar Metallics Limited,26237183,5000095966,4600000273,160,10-03-26,101,HRC,COIL,11513:2017,BIS,cr3,72083990,N,7.453,80193769,MATCHED
2000,R_HR_CO,Hot Rolled Black Coil,26CJ0598R0,27.26,2001,2.5,1260,0011000144,JSW Vijayanagar Metallics Limited,26237209,5000095967,4600000273,320,16-03-26,101,HRC,COIL,11513:2017,BIS,cr3,72083990,N,7.453,83877395,MATCHED
2000,R_HR_CO,Hot Rolled Black Coil,26CJ0599R0,22.875,2001,2.8,1275,0011000144,JSW Vijayanagar Metallics Limited,26230680,5000095968,4600000273,280,16-03-26,101,HRC,COIL,11513:2017,BIS,cr2,72083990,N,7.453,28031993,MATCHED
2000,R_HR_CO,Hot Rolled Black Coil,26CJ0600R0,30.135,2001,2.5,1510,0011000144,JSW Vijayanagar Metallics Limited,26236797,5000096012,4600000273,180,10-03-26,101,HRC,COIL,11513:2017,BIS,cr3,72083990,N,7.453,35056451,MATCHED
2000,R_HR_CO,Hot Rolled Black Coil,26CJ0601R0,30.125,2001,2.5,1510,0011000144,JSW Vijayanagar Metallics Limited,26236796,5000096014,4600000273,180,10-03-26,101,HRC,COIL,11513:2017,BIS,cr3,72083990,N,7.453,56549636,MATCHED
2000,R_HR_CO,Hot Rolled Black Coil,26CJ0602R0,27.23,2001,2,1260,0011000144,JSW Vijayanagar Metallics Limited,26237212,5000096016,4600000273,310,16-03-26,101,HRC,COIL,11513:2017,BIS,cr3,72083990,N,7.453,65978713,MATCHED
2000,R_HR_CO,Hot Rolled Black Coil,26CJ0603R0,23.56,2001,2.8,1260,0011000144,JSW Vijayanagar Metallics Limited,26237323,5000096030,4600000273,200,10-03-26,101,HRC,COIL,11513:2017,BIS,cr2,72083990,N,7.453,38705465,MATCHED
2000,R_HR>3MM_CO,Hot Rolled Black Coil 3mm & Above,26CJ0604R0,27.45,2001,3.6,1260,0011000144,JSW Vijayanagar Metallics Limited,26237274,5000096033,4600000273,260,10-03-26,101,HRC,COIL,11513:2017,BIS,cr2,72083890,N,7.453,44679190,MATCHED
2000,R_HR_CO,Hot Rolled Black Coil,26CJ0605R0,27.175,2001,2.2,1230,0011000144,JSW Vijayanagar Metallics Limited,26230252,5000096036,4600000273,100,10-03-26,101,HRC,COIL,11513:2017,BIS,cr3,72083990,N,7.453,76743681,MATCHED
2000,R_HR_CO,Hot Rolled Black Coil,26CJ0606R0,30.22,2001,2.8,1510,0011000144,JSW Vijayanagar Metallics Limited,26236784,5000096039,4600000273,210,10-03-26,101,HRC,COIL,11513:2017,BIS,cr3,72083990,N,7.453,78556045,MATCHED
